[INFO] 2024-04-25 12:00:00.192 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:01.226 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:02.247 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:03.278 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:04.297 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:05.341 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:06.362 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:07.381 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:08.406 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:09.452 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:10.472 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:11.496 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:12.528 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:13.556 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:14.577 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:15.614 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:16.636 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:17.668 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:22.421 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:23.438 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:24.457 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:25.500 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:26.521 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:27.543 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:28.580 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:29.605 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:30.729 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:31.759 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:32.789 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:33.812 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:34.826 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:35.857 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:36.909 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:37.940 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:38.964 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:39.984 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:41.008 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:42.025 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:43.056 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:44.056 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:45.089 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:46.121 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:53.061 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:54.078 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:55.100 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:57.263 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:58.288 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:00:59.350 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:00.376 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:01.397 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:02.420 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:03.485 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:04.513 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:05.540 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:06.584 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
[INFO] 2024-04-25 12:01:07.619 +0800 o.a.d.a.s.i.LoggerServiceImpl:[189] - Query task instance log, taskInstanceId:1716, taskInstanceName:test, host: 172.18.0.10:5678, logPath:/opt/dolphinscheduler/logs/20240425/13386933585344/5/641/1716.log
