[WI-0][TI-4009] - [INFO] 2024-05-07 17:00:51.934 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072151502)
[WI-0][TI-4009] - [INFO] 2024-05-07 17:00:51.943 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4009, processInstanceId=1108, status=6, startTime=1715069145325, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/9/1108/4009.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_9/1108/4009, endTime=1715069146351, processId=2003, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072451934)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:01:41.094 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072200700)
[WI-0][TI-4002] - [INFO] 2024-05-07 17:01:41.097 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4002, processInstanceId=1101, status=6, startTime=1715067992936, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/5/1101/4002.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_5/1101/4002, endTime=1715067993966, processId=1302, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072501094)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:01:49.123 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072208714)
[WI-0][TI-4007] - [INFO] 2024-05-07 17:01:49.126 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4007, processInstanceId=1106, status=6, startTime=1715068587362, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/7/1106/4007.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_7/1106/4007, endTime=1715068602485, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072509123)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:02:46.265 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072265852)
[WI-0][TI-4008] - [INFO] 2024-05-07 17:02:46.269 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4008, processInstanceId=1107, status=6, startTime=1715068952617, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/8/1107/4008.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_8/1107/4008, endTime=1715068959721, processId=1874, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072566265)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:02:47.271 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072266863)
[WI-0][TI-4004] - [INFO] 2024-05-07 17:02:47.275 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4004, processInstanceId=1103, status=6, startTime=1715068353487, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1103/4004.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1103/4004, endTime=1715068358543, processId=1525, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072567271)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:02:47.275 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072266863)
[WI-0][TI-4005] - [INFO] 2024-05-07 17:02:47.278 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4005, processInstanceId=1105, status=6, startTime=1715068353531, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1105/4005.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1105/4005, endTime=1715068358639, processId=1543, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072567271)
[WI-0][TI-4006] - [INFO] 2024-05-07 17:02:47.278 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=4006, processInstanceId=1104, status=6, startTime=1715068353515, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.14:5678, logPath=/opt/dolphinscheduler/logs/20240507/13520356270336/6/1104/4006.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13520356270336_6/1104/4006, endTime=1715068358655, processId=1537, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715072266863)
